artista	danceability	duration	enery	key	liveness	loudness	mode	speechiness	tempo	time_signature	genre
d	c	c	c	d	c	c	d	c	c	d	d	d
Miles Davis Quintet	0.41384	316.87356	0.171776	10	0.105	-10.274	1	0.04534	176.661	3	jazz	
The Dave Brubeck Quartet	0.742185	266.88	0.254784	1	0.08635	-12.402	1	0.069767	149.194	4	jazz	
Rahsaan Roland Kirk	0.49608	329.44472	0.525506	5	0.331796	-12.672	0	0.040376	142.19	4	jazz	
Kenny Burrell	0.456186	267.71955	0.164817	4	0.969545	-25.327	0	0.061123	106.789	3	jazz	
Sarah Vaughan	0.209449	379.53306	0.040609	3	0.102923	-22.748	1	0.037342	90.134	5	jazz	
The Buddy Rich Band	0.37864	403.49333	0.707796	7	0.13247	-9.382	1	0.129025	73.076	3	jazz	
Sarah Vaughan	0.209449	379.53306	0.040609	3	0.102923	-22.748	1	0.037342	90.134	5	jazz	
John Coltrane	0.414436	395.86667	0.344331	4	0.108979	-15.238	1	0.039501	166.715	3	jazz	
Cannonball Adderley	0.582187	194.57415	0.23758	7	0.095048	-14.496	0	0.061504	142.074	4	jazz	
Thelonious Monk	0.417962	195.77333	0.39165	8	0.201939	-15.766	1	0.034947	141.811	3	jazz	
Thelonious Monk	0.309205	316.74998	0.834508	8	0.129536	-8.195	1	0.054685	174.876	4	jazz	
Rahsaan Roland Kirk	0.597227	149.5249	0.196736	0	0.129102	-15.858	1	0.2315	65.623	4	jazz	
Miles Davis	0.645481	266.9366	0.553728	11	0.059042	-6.966	0	0.03223	91.631	4	jazz	
Yusef Lateef	0.522646	251.6	0.375405	4	0.114309	-14.085	0	0.028641	133.68	3	jazz	
Wynton Marsalis	0.062551	243.66667	0.056273	9	0.093439	-16.992	0	0.042392	62.676	3	jazz	
Ron Carter	0.643487	298.58667	0.198226	7	0.077522	-20.351	1	0.038758	130.657	4	jazz	
Wes Montgomery	0.435814	293.6	0.337005	2	0.15629	-15.772	0	0.035241	82.305	4	jazz	
Art Blakey	0.610669	575.7663	0.169254	0	0.119793	-21.29	0	0.066205	126.534	4	jazz	
Jackie McLean	0.463483	333.2	0.334242	7	0.28316	-13.262	0	0.035226	102.312	4	jazz	
Dexter Gordon	0.574143	380.66667	0.382312	5	0.252393	-11.236	1	0.03425	127.552	4	jazz	
Miles Davis Quintet	0.462127	998.0	0.618259	0	0.711785	-12.476	1	0.050842	136.424	4	jazz	
Miles Davis Quintet	0.577721	397.58862	0.16	5	0.298307	-20.958	0	0.046519	93.272	4	jazz	
Thelonious Monk	0.538173	558.57497	0.111874	3	0.100335	-15.614	1	0.076867	141.909	4	jazz	
John Coltrane	0.393024	968.46667	0.754476	7	0.926677	-9.561	1	0.083106	119.159	4	jazz	
John Coltrane Quartet	0.415044	437.46395	0.586305	5	0.156014	-9.005	0	0.062246	126.219	3	jazz	
Yusef Lateef	0.374621	327.0	0.449003	2	0.709499	-19.008	1	0.054536	150.462	4	jazz	
Bill Evans	0.402856	294.32163	0.255576	0	0.113744	-14.862	0	0.039605	185.931	3	jazz	
Benny Golson	0.722392	144.29333	0.684866	0	0.111141	-6.515	1	0.028743	120.909	4	jazz	
Thelonious Monk	0.548115	181.74667	0.464325	2	0.338761	-9.7	1	0.030821	89.211	4	jazz	
Lennie Tristano	0.55666	202.4	0.273503	5	0.352908	-14.819	1	0.043482	87.267	4	jazz	
Hank Mobley	0.580385	385.63701	0.761038	10	0.085328	-5.222	1	0.047938	123.444	4	jazz	
Art Blakey And The Jazz Messengers	0.474242	403.16	0.538467	8	0.261935	-12.481	1	0.049156	131.913	4	jazz	
Bill Evans	0.402856	294.32163	0.255576	0	0.113744	-14.862	0	0.039605	185.931	3	jazz	
Rahsaan Roland Kirk	0.326584	215.77333	0.465906	10	0.334013	-9.168	1	0.031464	98.161	4	jazz	
Art Blakey And The Jazz Messengers	0.581994	539.61506	0.420638	6	0.98779	-16.497	1	0.066566	135.649	4	jazz	
Thelonious Monk	0.679408	356.06667	0.375594	0	0.087143	-8.685	1	0.036298	130.988	4	jazz	
Oscar Peterson Trio	0.687391	283.62154	0.086418	0	0.38714	-25.492	0	0.057535	99.855	4	jazz	
Yusef Lateef	0.383224	278.62204	0.27712	7	0.085818	-12.011	1	0.030418	87.765	4	jazz	
Sonny Criss	0.373487	262.30667	0.239578	8	0.14185	-15.445	1	0.042803	171.914	3	jazz	
Sonny Rollins	0.59404	534.22512	0.218589	3	0.150564	-18.728	1	0.051614	124.952	4	jazz	
John Coltrane	0.508719	349.44104	0.339182	1	0.121514	-15.712	1	0.056821	111.386	4	jazz	
Stan Getz	0.572679	165.68	0.014338	8	0.12988	-20.51	0	0.097859	118.692	4	jazz	
Cedar Walton	0.544436	554.0	0.263246	2	0.345352	-20.581	0	0.037198	90.509	4	jazz	
Lee Morgan	0.628714	419.24122	0.291841	3	0.102609	-17.351	0	0.056115	83.173	4	jazz	
Wayne Shorter	0.333268	405.92	0.396633	7	0.137507	-10.278	1	0.02761	89.263	4	jazz	
Miles Davis	0.601196	586.8	0.260438	5	0.11421	-13.165	0	0.034833	128.252	4	jazz	
Stan Kenton	0.495104	176.72	0.409767	5	0.081092	-12.961	0	0.043518	160.729	3	jazz	
Horace Silver	0.71743	438.46667	0.62547	5	0.103062	-10.104	0	0.035053	127.062	4	jazz	
Hank Mobley	0.597047	369.38667	0.441648	5	0.11883	-8.63	0	0.044654	143.493	4	jazz	
Thelonious Monk	0.676547	277.0688	0.0505	5	0.100477	-24.774	1	0.052936	145.161	3	jazz	
Lee Konitz	0.494589	418.09333	0.252841	5	0.119661	-17.735	0	0.053291	99.617	4	jazz	
Sonny Rollins	0.408624	152.10667	0.314685	5	0.498908	-15.378	1	0.053405	170.317	4	jazz	
Yusef Lateef	0.437296	238.73333	0.428238	5	0.090377	-11.726	1	0.044606	130.922	4	jazz	
Zoot Sims	0.488606	278.58667	0.357205	7	0.102143	-10.211	1	0.05247	165.175	4	jazz	
Wynton Marsalis	0.361942	334.89333	0.044207	6	0.140787	-19.25	1	0.033887	97.592	4	jazz	
The Dizzy Gillespie Big 7	0.435869	662.0	0.700318	3	0.973534	-9.973	1	0.102128	86.914	4	jazz	
Miles Davis	0.502509	174.85333	0.220523	2	0.126712	-15.933	0	0.042785	63.279	4	jazz	
Dizzy Gillespie	0.67467	171.90512	0.298467	1	0.074087	-13.061	1	0.089787	83.841	4	jazz	
McCoy Tyner	0.347715	451.89333	0.48076	0	0.116028	-12.374	1	0.036427	135.237	4	jazz	
Marcus Miller	0.737916	408.57333	0.605543	0	0.09567	-9.962	1	0.038134	98.017	4	jazz	
Thelonious Monk	0.453513	314.35175	0.15844	10	0.133904	-17.49	1	0.056271	77.406	4	jazz	
Phil Woods	0.632266	414.09333	0.307998	5	0.112693	-11.911	0	0.049142	124.061	4	jazz	
Rahsaan Roland Kirk	0.597227	149.5249	0.196736	0	0.129102	-15.858	1	0.2315	65.623	4	jazz	
Nat Adderley	0.487208	366.33333	0.407123	7	0.101681	-12.159	1	0.051341	137.193	4	jazz	
Wayne Shorter	0.333268	405.92	0.396633	7	0.137507	-10.278	1	0.02761	89.263	4	jazz	
John Coltrane	0.427681	308.93333	0.076776	0	0.123221	-17.412	0	0.041336	107.712	4	jazz	
Stan Getz	0.561645	353.4044	0.308362	4	0.315211	-13.245	0	0.031643	91.196	4	jazz	
Rahsaan Roland Kirk	0.392666	228.70667	0.795122	5	0.578895	-10.522	1	0.055506	117.806	4	jazz	
Thelonious Monk Septet	0.516603	800.67048	0.299903	5	0.648711	-17.242	0	0.064887	83.239	4	jazz	
Cannonball Adderley	0.582187	194.57415	0.23758	7	0.095048	-14.496	0	0.061504	142.074	4	jazz	
Ernie Watts	0.478972	485.10667	0.117887	10	0.085021	-15.171	1	0.043037	121.034	4	jazz	
Lennie Tristano	0.558097	293.73333	0.283095	10	0.132154	-16.346	1	0.07988	131.906	4	jazz	
Wynton Marsalis	0.596446	597.57333	0.335382	9	0.089471	-12.755	1	0.027959	135.479	5	jazz	
Joe Zawinul	0.454646	658.4	0.904219	8	0.681303	-5.655	1	0.117485	125.88	4	jazz	
Stan Getz	0.496062	319.62667	0.170259	9	0.10505	-17.518	0	0.042122	105.569	4	jazz	
Don Ellis	0.391878	746.90667	0.721899	5	0.850241	-9.126	1	0.066408	126.983	4	jazz	
Cannonball Adderley	0.582187	194.57415	0.23758	7	0.095048	-14.496	0	0.061504	142.074	4	jazz	
Wynton Marsalis	0.325848	168.66667	0.057508	4	0.280922	-16.5	1	0.039338	127.397	5	jazz	
Freddie Hubbard	0.496572	431.73333	0.668827	5	0.111287	-7.143	0	0.039146	130.427	4	jazz	
John Coltrane	0.529053	1052.62667	0.056659	5	0.086354	-19.913	0	0.044142	108.225	4	jazz	
Oscar Peterson	0.524582	165.07029	0.016287	8	0.101235	-35.974	0	0.050841	54.016	4	jazz	
Kenny Burrell	0.713339	376.44	0.254319	7	0.168316	-12.61	1	0.035206	91.917	4	jazz	
Oliver Nelson	0.653923	183.10345	0.916924	6	0.686982	-4.357	1	0.054466	115.991	4	jazz	
Miles Davis Quintet	0.511678	408.06667	0.548456	0	0.956402	-11.622	1	0.159176	87.982	4	jazz	
Oscar Peterson Trio	0.487845	450.36	0.622879	7	0.953131	-11.664	0	0.070407	132.503	4	jazz	
Clifford Brown	0.278898	292.10245	0.445592	5	0.412861	-15.215	0	0.040088	179.218	4	jazz	
Stphane Grappelli	0.449461	141.02667	0.127044	2	0.139371	-23.088	1	0.032013	66.879	3	jazz	
Joe Zawinul	0.354326	459.24	0.405755	0	0.131937	-12.187	1	0.03085	142.344	3	jazz	
Chris Potter	0.638468	399.0	0.485274	6	0.083762	-11.945	0	0.030627	100.968	4	jazz	
Yusef Lateef	0.227866	548.70159	0.301097	5	0.078995	-18.097	1	0.038333	143.306	4	jazz	
Freddie Hubbard	0.496572	431.73333	0.668827	5	0.111287	-7.143	0	0.039146	130.427	4	jazz	
Chet Baker	0.553827	246.29333	0.119739	0	0.106674	-11.544	0	0.034213	61.057	4	jazz	
Wynton Marsalis	0.596446	597.57333	0.335382	9	0.089471	-12.755	1	0.027959	135.479	5	jazz	
Coleman Hawkins	0.502124	194.02667	0.172884	8	0.109765	-15.952	1	0.043013	134.278	4	jazz	
Thelonious Monk	0.417962	195.77333	0.39165	8	0.201939	-15.766	1	0.034947	141.811	3	jazz	
Duke Ellington	0.774975	197.40621	0.338888	10	0.081252	-6.929	1	0.051875	128.941	4	jazz	
Chet Baker	0.370445	475.02667	0.012589	0	0.669402	-31.174	1	0.036427	113.354	4	jazz	
Miles Davis Quintet	0.577721	397.58862	0.16	5	0.298307	-20.958	0	0.046519	93.272	4	jazz	
Thelonious Monk	0.417962	195.77333	0.39165	8	0.201939	-15.766	1	0.034947	141.811	3	jazz	
Sonny Rollins	0.59404	534.22512	0.218589	3	0.150564	-18.728	1	0.051614	124.952	4	jazz	
Don Ellis	0.279801	257.42667	0.277553	4	0.211803	-13.621	0	0.055235	140.395	3	jazz	
Lester Young	0.890757	177.93333	0.055896	8	0.114913	-18.161	1	0.175407	98.406	4	jazz	
Jim Hall	0.536794	391.33333	0.212154	9	0.084376	-17.835	0	0.037375	114.509	4	jazz	
Freddie Hubbard	0.458304	516.33333	0.452359	0	0.077028	-15.268	1	0.059721	78.862	4	jazz	
Miles Davis Quintet	0.41384	316.87356	0.171776	10	0.105	-10.274	1	0.04534	176.661	3	jazz	
Mose Allison	0.752079	135.14163	0.169546	5	0.117792	-18.176	1	0.06297	109.612	4	jazz	
Kenny Burrell	0.797794	329.72336	0.442365	0	0.077581	-9.212	0	0.040397	132.668	4	jazz	
Bill Evans	0.402856	294.32163	0.255576	0	0.113744	-14.862	0	0.039605	185.931	3	jazz	
Ernie Watts	0.496586	260.82667	0.605196	2	0.037834	-9.505	0	0.042514	88.237	4	jazz	
James Carter	0.491624	527.30667	0.246154	7	0.094692	-12.885	1	0.03056	96.929	4	jazz	
Lester Young	0.56295	321.36	0.584607	8	0.381391	-11.203	1	0.070036	124.568	4	jazz	
Jon Faddis	0.572204	393.37333	0.252285	0	0.105394	-15.926	0	0.084645	89.472	4	jazz	
Herbie Hancock	0.546305	941.49333	0.67198	10	0.051643	-8.298	0	0.066269	100.126	4	jazz	
Paul Desmond	0.393894	259.45977	0.547124	5	0.141128	-19.171	0	0.040096	89.483	4	jazz	
Cannonball Adderley	0.582187	194.57415	0.23758	7	0.095048	-14.496	0	0.061504	142.074	4	jazz	
Lee Konitz	0.571518	268.4	0.307744	10	0.136121	-14.243	0	0.058966	114.603	4	jazz	
Miles Davis Quintet	0.413084	371.03596	0.81472	0	0.111334	-9.074	1	0.087372	176.729	3	jazz	
John Coltrane	0.434435	287.21633	0.437436	0	0.19092	-12.483	0	0.050532	146.842	4	jazz	
Wynton Marsalis	0.325848	168.66667	0.057508	4	0.280922	-16.5	1	0.039338	127.397	5	jazz	
Bud Powell	0.506627	222.30667	0.337024	5	0.129103	-12.331	0	0.033442	156.181	4	jazz	
Joe Farrell	0.484187	223.36	0.493641	10	0.15378	-14.973	1	0.044926	90.563	4	jazz	
Herbie Hancock	0.451589	332.88	0.522712	0	0.147308	-12.134	0	0.029191	115.87	4	jazz	
John Coltrane	0.434435	287.21633	0.437436	0	0.19092	-12.483	0	0.050532	146.842	4	jazz	
Sonny Clark	0.547609	459.53333	0.429877	2	0.105593	-9.061	0	0.034802	112.355	4	jazz	
Miles Davis All Stars	0.577281	284.29283	0.02328	0	0.07285	-30.682	0	0.045294	84.251	3	jazz	
Miles Davis Quintet	0.462127	998.0	0.618259	0	0.711785	-12.476	1	0.050842	136.424	4	jazz	
Zoot Sims	0.406584	161.14649	0.138454	2	0.106047	-19.407	1	0.037781	173.381	4	jazz	
Duke Ellington	0.583291	174.01333	0.658479	5	0.927195	-11.52	0	0.127141	94.381	4	jazz	
Chet Baker	0.427755	142.0	0.007456	0	0.109024	-26.538	0	0.039328	104.956	4	jazz	
Miles Davis Quintet	0.577721	397.58862	0.16	5	0.298307	-20.958	0	0.046519	93.272	4	jazz	
Wayne Shorter	0.530467	449.77333	0.453862	7	0.113191	-11.19	0	0.028035	135.947	3	jazz	
Charlie Rouse	0.536091	289.93333	0.635088	5	0.106515	-7.806	0	0.049565	158.545	4	jazz	
Don Ellis	0.420747	312.62667	0.105085	0	0.100589	-17.032	1	0.042424	100.261	4	jazz	
Dexter Gordon	0.574143	380.66667	0.382312	5	0.252393	-11.236	1	0.03425	127.552	4	jazz	
Miles Davis	0.502911	800.0605	0.228465	7	0.628683	-15.458	0	0.042092	129.499	4	jazz	
Max Roach	0.194914	441.33333	0.563161	11	0.147091	-9.413	0	0.058736	140.687	5	jazz	
Horace Silver	0.707981	155.70667	0.577541	2	0.126654	-8.96	1	0.05224	96.328	4	jazz	
Hampton Hawes	0.626659	379.09333	0.262184	1	0.184378	-17.958	1	0.047571	92.489	4	jazz	
Bud Powell	0.517941	198.06667	0.276899	0	0.059811	-13.3	0	0.039202	98.567	4	jazz	
Jaki Byard	0.63883	344.37333	0.067959	0	0.128255	-23.104	1	0.063603	72.797	4	jazz	
Duke Ellington	0.61901	177.89333	0.079217	0	0.104494	-14.886	1	0.044368	89.001	4	jazz	
John Coltrane Quartet	0.409093	428.41333	0.232805	7	0.098466	-12.873	0	0.031359	125.426	4	jazz	
Horace Silver	0.71743	438.46667	0.62547	5	0.103062	-10.104	0	0.035053	127.062	4	jazz	
Philly Joe Jones	0.482342	247.36	0.521112	6	0.342802	-13.186	1	0.106111	117.053	4	jazz	
Thelonious Monk	0.55917	174.5	0.640504	5	0.298723	-7.285	0	0.058686	91.824	4	jazz	
Wynton Marsalis	0.596446	597.57333	0.335382	9	0.089471	-12.755	1	0.027959	135.479	5	jazz	
Cannonball Adderley	0.504784	270.98853	0.085678	10	0.957125	-18.584	1	0.031546	77.175	4	jazz	
Pete La Roca	0.263143	333.04	0.168964	5	0.096522	-13.759	0	0.0344	63.706	4	jazz	
Jon Faddis	0.544315	336.76	0.263539	3	0.316963	-12.405	1	0.036943	96.916	3	jazz	
Michel Petrucciani	0.38896	345.89333	0.575411	6	0.102557	-13.417	0	0.031581	113.843	4	jazz	
Jim Hall	0.693995	238.82862	0.199964	5	0.108057	-14.151	0	0.0566	114.195	4	jazz	
Bud Powell	0.432313	167.97864	0.747619	2	0.683301	-5.563	0	0.130446	143.847	4	jazz	
Oscar Peterson	0.580152	273.24259	0.427531	7	0.122386	-10.054	1	0.0293	94.384	4	jazz	
Dave Brubeck	0.453262	322.59542	0.195779	0	0.137694	-17.04	1	0.048183	178.978	3	jazz	
Dizzy Gillespie	0.641003	183.58667	0.330574	10	0.097639	-9.966	1	0.054157	90.346	4	jazz	
Lennie Tristano	0.419722	211.61796	0.548458	5	0.160217	-9.28	0	0.029683	131.108	3	jazz	
Miles Davis	0.48889	695.33333	0.195747	0	0.070543	-16.496	1	0.031221	140.237	3	jazz	
Modern Jazz Quartet	0.394165	357.10621	0.030987	9	0.093391	-31.087	0	0.048592	75.159	4	jazz	
Phil Woods	0.41049	283.42667	0.441109	5	0.219155	-4.501	0	0.028686	99.238	4	jazz	
Clifford Brown	0.215899	205.2	0.172673	3	0.16199	-10.966	1	0.035891	60.595	4	jazz	
Keith Jarrett	0.396099	196.66667	0.043919	10	0.91044	-31.515	1	0.076188	102.388	4	jazz	
John Coltrane Quartet	0.429155	987.93333	0.418618	9	0.075618	-15.812	0	0.036195	92.094	4	jazz	
Rahsaan Roland Kirk	0.597227	149.5249	0.196736	0	0.129102	-15.858	1	0.2315	65.623	4	jazz	
Art Blakey And The Jazz Messengers	0.716193	389.24	0.408968	7	0.140788	-9.502	0	0.035917	125.785	4	jazz	
Miles Davis All Stars	0.524701	173.31202	0.464223	6	0.343422	-9.903	0	0.073822	111.305	1	jazz	
Wes Montgomery	0.770698	142.17333	0.37428	10	0.095163	-13.282	1	0.035489	134.394	4	jazz	
Cannonball Adderley	0.735044	291.09333	0.259585	7	0.039533	-17.199	0	0.0406	130.641	4	jazz	
Joshua Redman	0.76277	403.67846	0.560147	11	0.047194	-11.97	1	0.055701	115.275	4	jazz	
Cannonball Adderley	0.582187	194.57415	0.23758	7	0.095048	-14.496	0	0.061504	142.074	4	jazz	
John Coltrane	0.481875	555.50667	0.148952	10	0.346351	-17.823	1	0.039262	117.939	4	jazz	
Bob Brookmeyer	0.521211	558.75873	0.285018	1	0.634178	-17.197	1	0.047783	129.811	4	jazz	
The Dave Brubeck Quartet	0.742185	266.88	0.254784	1	0.08635	-12.402	1	0.069767	149.194	4	jazz	
Charlie Christian	0.729932	538.13333	0.456769	6	0.200621	-13.594	1	0.049642	110.578	4	jazz	
Hank Mobley	0.597047	369.38667	0.441648	5	0.11883	-8.63	0	0.044654	143.493	4	jazz	
Miles Davis	0.525285	567.42667	0.231422	0	0.114464	-13.908	1	0.034782	136.968	4	jazz	
Miles Davis Quintet	0.441295	373.67791	0.135005	3	0.096591	-13.094	1	0.038344	113.995	4	jazz	
Miles Davis Quintet	0.577721	397.58862	0.16	5	0.298307	-20.958	0	0.046519	93.272	4	jazz	
Lennie Tristano	0.419722	211.61796	0.548458	5	0.160217	-9.28	0	0.029683	131.108	3	jazz	
Phil Woods	0.632266	414.09333	0.307998	5	0.112693	-11.911	0	0.049142	124.061	4	jazz	
McCoy Tyner	0.480592	390.66667	0.356536	5	0.320178	-16.865	0	0.03936	80.47	4	jazz	
Johnny Hodges	0.527893	360.93333	0.299466	8	0.083569	-12.132	1	0.067775	179.132	4	jazz	
Sonny Stitt	0.48492	322.53333	0.675991	5	0.33924	-9.839	0	0.053612	138.658	4	jazz	
Bill Evans	0.742469	331.22667	0.354134	0	0.068953	-11.491	0	0.026441	94.004	4	jazz	
Keith Jarrett	0.396099	196.66667	0.043919	10	0.91044	-31.515	1	0.076188	102.388	4	jazz	
Horace Silver	0.707981	155.70667	0.577541	2	0.126654	-8.96	1	0.05224	96.328	4	jazz	
Cannonball Adderley	0.582187	194.57415	0.23758	7	0.095048	-14.496	0	0.061504	142.074	4	jazz	
Mingus Big Band	0.437028	336.97333	0.638433	1	0.071445	-11.862	1	0.058952	137.115	4	jazz	
Oliver Nelson	0.315916	382.16	0.520174	5	0.091318	-12.427	0	0.038856	88.332	3	jazz	
Dexter Gordon	0.328739	589.46667	0.150475	3	0.087136	-18.712	1	0.039867	82.926	4	jazz	
Wayne Shorter	0.514105	373.0	0.573296	0	0.099187	-7.576	1	0.033043	143.288	4	jazz	
Nat Adderley	0.622247	322.37333	0.497519	5	0.089146	-13.144	1	0.03968	77.813	4	jazz	
Thelonious Monk Quartet	0.634966	150.6	0.111264	8	0.118568	-14.499	1	0.103973	67.294	4	jazz	
Django Reinhardt	0.627335	153.97152	0.35052	1	0.136623	-11.734	1	0.045315	154.16	4	jazz	
Buddy DeFranco	0.648139	243.58667	0.451198	0	0.170321	-10.855	1	0.043652	122.271	4	jazz	
J.J. Johnson	0.496541	181.10667	0.66943	7	0.351136	-12.843	1	0.062915	119.808	4	jazz	
Cannonball Adderley	0.582187	194.57415	0.23758	7	0.095048	-14.496	0	0.061504	142.074	4	jazz	
John Coltrane	0.508719	349.44104	0.339182	1	0.121514	-15.712	1	0.056821	111.386	4	jazz	
Wayne Shorter	0.66687	286.76	0.596891	7	0.038038	-11.831	1	0.029622	110.048	4	jazz	
Charlie Parker & Dizzy Gillespie	0.653404	174.65293	0.218985	5	0.156289	-16.166	0	0.069068	102.981	4	jazz	
Kenny Burrell	0.662539	331.04934	0.029667	5	0.109029	-25.246	1	0.047022	115.452	4	jazz	
John Coltrane Quartet	0.402159	644.96	0.532583	5	0.334465	-14.566	0	0.120311	138.395	4	jazz	
Rahsaan Roland Kirk	0.375604	380.57333	0.556093	3	0.081315	-11.318	1	0.065134	118.955	4	jazz	
Ornette Coleman	0.456196	302.26145	0.353557	9	0.133311	-10.684	0	0.029436	80.444	4	jazz	
Chick Corea	0.403207	419.68	0.278415	4	0.10264	-14.482	0	0.044482	87.111	4	jazz	
Miles Davis	0.525285	567.42667	0.231422	0	0.114464	-13.908	1	0.034782	136.968	4	jazz	
Cannonball Adderley	0.582187	194.57415	0.23758	7	0.095048	-14.496	0	0.061504	142.074	4	jazz	
Dizzy Gillespie	0.659434	193.8	0.276723	10	0.320882	-12.82	0	0.220233	152.39	4	jazz	
Grant Green	0.721134	597.2	0.751403	0	0.064898	-12.702	0	0.043255	99.781	4	jazz	
John Coltrane	0.393024	968.46667	0.754476	7	0.926677	-9.561	1	0.083106	119.159	4	jazz	
Cannonball Adderley	0.582187	194.57415	0.23758	7	0.095048	-14.496	0	0.061504	142.074	4	jazz	
Jaki Byard	0.519179	271.86621	0.414029	3	0.892947	-12.978	1	0.04044	137.374	4	jazz	
Oliver Nelson	0.291002	154.52	0.461414	0	0.065003	-5.307	1	0.034504	114.644	4	jazz	
John Coltrane Quartet	0.415044	437.46395	0.586305	5	0.156014	-9.005	0	0.062246	126.219	3	jazz	
The Brecker Brothers	0.657622	271.65333	0.556315	5	0.223173	-13.333	0	0.116016	189.638	4	jazz	
Stan Getz	0.561645	353.4044	0.308362	4	0.315211	-13.245	0	0.031643	91.196	4	jazz	
Miles Davis	0.502509	174.85333	0.220523	2	0.126712	-15.933	0	0.042785	63.279	4	jazz	
Carla Bley	0.357007	307.62667	0.079765	2	0.122215	-14.482	0	0.034836	164.573	3	jazz	
Johnny Griffin	0.517522	412.26667	0.123968	8	0.050722	-17.941	1	0.047402	177.259	3	jazz	
Louis Armstrong	0.836173	162.42213	0.225682	2	0.093487	-10.247	1	0.079287	102.276	3	jazz	
Nat Adderley	0.681238	255.81714	0.298442	0	0.088953	-14.626	0	0.040365	78.552	4	jazz	
Charlie Parker Sextet	0.692807	161.22667	0.38039	0	0.04375	-10.151	1	0.04422	82.389	4	jazz	
Thad Jones	0.593115	214.44	0.533534	3	0.278206	-9.15	1	0.08803	107.401	4	jazz	
George Russell	0.496278	294.90667	0.214013	10	0.09863	-17.089	1	0.058491	114.885	4	jazz	
John Coltrane	0.393024	968.46667	0.754476	7	0.926677	-9.561	1	0.083106	119.159	4	jazz	
Dave Liebman	0.425453	259.82667	0.325771	2	0.121952	-13.447	1	0.034119	122.231	4	jazz	
Freddie Hubbard	0.458304	516.33333	0.452359	0	0.077028	-15.268	1	0.059721	78.862	4	jazz	
Oscar Peterson Trio	0.487845	450.36	0.622879	7	0.953131	-11.664	0	0.070407	132.503	4	jazz	
Dizzy Gillespie	0.67467	171.90512	0.298467	1	0.074087	-13.061	1	0.089787	83.841	4	jazz	
John Coltrane	0.414436	395.86667	0.344331	4	0.108979	-15.238	1	0.039501	166.715	3	jazz	
Horace Silver	0.52688	337.49333	0.430594	7	0.137249	-10.861	0	0.029801	112.38	3	jazz	
Art Blakey And The Jazz Messengers	0.716193	389.24	0.408968	7	0.140788	-9.502	0	0.035917	125.785	4	jazz	
Bud Powell	0.506627	222.30667	0.337024	5	0.129103	-12.331	0	0.033442	156.181	4	jazz	
Warne Marsh	0.557948	474.29333	0.218522	8	0.201997	-15.11	1	0.053521	73.73	4	jazz	
Wynton Marsalis	0.381771	114.86667	0.021578	0	0.126574	-16.626	1	0.034747	97.205	4	jazz	
Miles Davis Quintet	0.41384	316.87356	0.171776	10	0.105	-10.274	1	0.04534	176.661	3	jazz	
Dizzy Gillespie	0.749378	160.14667	0.431679	5	0.111923	-13.635	0	0.03752	137.346	4	jazz	
Oliver Nelson	0.589119	526.78531	0.190172	0	0.153505	-13.025	0	0.053556	115.267	4	jazz	
Joe Lovano	0.533891	366.29333	0.251544	6	0.104051	-13.25	1	0.033572	126.442	4	jazz	
Wynton Marsalis	0.329474	104.2	0.023777	4	0.075823	-17.029	0	0.037669	130.981	5	jazz	
Rahsaan Roland Kirk	0.46882	106.28	0.318636	8	0.445966	-14.67	0	0.626221	82.988	4	jazz	
David Liebman	0.37134	256.4	0.074089	10	0.145829	-19.016	0	0.038093	72.468	4	jazz	
Stan Getz	0.405167	637.0	0.482871	8	0.294397	-12.152	1	0.038379	117.203	4	jazz	
Miles Davis	0.525285	567.42667	0.231422	0	0.114464	-13.908	1	0.034782	136.968	4	jazz	
Miles Davis Quintet	0.441295	373.67791	0.135005	3	0.096591	-13.094	1	0.038344	113.995	4	jazz	
Philly Joe Jones	0.449086	355.86667	0.766745	8	0.053079	-11.306	1	0.068803	107.639	4	jazz	
Bill Evans	0.402856	294.32163	0.255576	0	0.113744	-14.862	0	0.039605	185.931	3	jazz	
Ted Curson	0.390887	328.4	0.326985	8	0.065819	-16.269	1	0.093674	149.72	4	jazz	
Wes Montgomery	0.753162	137.06667	0.433033	9	0.192871	-14.513	0	0.041096	119.649	4	jazz	
The Dave Brubeck Quartet	0.419705	290.89959	0.209593	10	0.092552	-17.2	1	0.043706	187.313	3	jazz	
Bobby Hutcherson	0.439771	350.46667	0.461278	1	0.088944	-15.264	1	0.035185	89.58	4	jazz	
Kenny Burrell	0.676504	265.22667	0.074641	0	0.168235	-19.754	0	0.076016	67.588	4	jazz	
Sonny Rollins	0.70119	479.5385	0.3067	5	0.067341	-9.288	0	0.058201	114.272	4	jazz	
Freddie Hubbard	0.496572	431.73333	0.668827	5	0.111287	-7.143	0	0.039146	130.427	4	jazz	
Steve Lacy	0.440406	263.46667	0.267955	5	0.076959	-10.895	1	0.032891	101.122	4	jazz	
The Cannonball Adderley Quintet	0.397109	469.16	0.65231	0	0.461889	-15.657	1	0.080914	100.396	3	jazz	
Eric Dolphy	0.481694	403.12	0.190002	9	0.202072	-17.569	0	0.050802	122.512	4	jazz	
Lew Tabackin	0.334392	652.79955	0.257105	11	0.170881	-19.414	0	0.038458	105.01	4	jazz	
Sonny Rollins	0.588769	268.84299	0.170405	8	0.322401	-14.376	1	0.072145	93.502	4	jazz	
